Graph,Score
small239,1288.0541504273715
small240,152439.01581064696
small241,26305.31591025766
small242,125535.49323151434
small243,7929.513041549416
small244,3154.210293100217
small245,3353.8538391474267
small246,272.8281828459045
small247,272.8281828459045
small248,152352.01581064696
small249,1219.2493960703473
small250,156482.01581064696
small251,21230.469184168058
small252,113177.90918776828
small253,87350.90918776828
small254,1219.2493960703473
small255,31646.46445079197
small256,272.8281828459045
small257,241004.01581064696
small258,272.8281828459045
small259,3047.304596037192
small260,266777.01581064693
medium1,63919.31664124977
medium2,112231.67068980877
medium3,276515.4145999371
medium4,108058.97081429446
medium5,13771.256101689989
medium6,449.1689070338065
medium7,73646.42232091133
medium8,53881.2735594355
medium9,56941.601004301025
medium10,59398.244495760424
medium11,62971.89777949566
medium12,52467.644302788496
medium13,366095.4145999371
medium14,1176.9430953185015
medium15,739.905609893065
medium16,12146.30885954619
medium17,1315.4603010261908
medium18,6597.409673072652
medium19,132246.09423148035
medium20,55884.451026151764
medium21,739.905609893065
medium22,1921.2368764326816
medium23,739.905609893065
medium24,449.1689070338065
medium25,2009.5536923187667
medium26,61524.94172711839
medium27,59031.34327208763
medium28,47162.89777949566
medium29,99912.16567854794
medium30,92290.70329742126
medium31,1952.2493960703473
medium32,3560.1929430497526
medium33,86345.2735594355
medium34,73701.46887218827
medium35,14842.31591025766
medium36,136075.9746299363
medium37,15798.007008809042
medium38,23651.957198246593
medium39,739.905609893065
medium40,76827.72829574501
medium41,272.8281828459045
medium42,361515.4145999371
medium43,272.8281828459045
medium44,9238.552262102847
medium45,280343.8793492735
medium46,739.905609893065
medium47,24470.604730947358
medium48,82908.59356145316
medium49,68927.61159157331
medium50,449.5598517448982
medium51,739.905609893065
medium52,45562.950438281325
medium53,449.1689070338065
medium54,9696.926923368883
medium55,10034.307799810409
medium56,23770.80987783551
medium57,2009.5536923187667
medium58,272.8281828459045
medium59,50517.34327208763
medium60,89347.09314259021
medium61,16392.176771571543
medium62,96020.32399604461
medium63,2009.5536923187667
medium64,9417.48413580413
medium65,1522.3408610912907
medium66,160565.92099961243
medium67,80536.92271052928
medium68,9047.506101865805
medium69,272.8281828459045
medium70,3312.786328891362
medium71,141305.1963397978
medium72,739.905609893065
medium73,56714.34327208763
medium74,31948.14243574018
medium75,187198.1963397978
medium76,7873.749730503738
medium77,2021.7390403336483
medium78,18151.205948025516
medium79,45016.793724779796
medium80,30981.909187768277
medium81,21959.407283365763
medium82,52050.49323151434
medium83,739.905609893065
medium84,3312.786328891362
medium85,2009.5536923187667
medium86,20759.373782406794
medium87,2009.5536923187667
medium88,91582.31664124977
medium89,2233.3928243694313
medium90,14842.31591025766
medium91,4967.956133256549
medium92,68528.81984352414
medium93,19672.452371631098
medium94,24470.604730947358
medium95,65451.77770728635
medium96,272.8281828459045
medium97,2009.5536923187667
medium98,449.1689070338065
medium99,739.905609893065
medium100,449.1689070338065
medium101,61709.74466064131
medium102,33027.56039956255
medium103,449.1689070338065
medium104,771.905609893065
medium105,272.8281828459045
medium106,739.905609893065
medium107,80613.4374578826
medium108,85142.14243574018
medium109,1401.0204018222967
medium110,120470.60473094735
medium111,88930.42232091133
medium112,45363.04582634693
medium113,65383.57172797804
medium114,11164.568535876526
medium115,2016.4055032898657
medium116,449.1689070338065
medium117,12008.020270249175
medium118,92753.70541123413
medium119,29421.30192342595
medium120,272.8281828459045
medium121,2174.5685358765263
medium122,11346.30885954619
medium123,1219.2493960703473
medium124,55548.622518570584
medium125,272.8281828459045
medium126,739.905609893065
medium127,3312.786328891362
medium128,1602.640340781439
medium129,37900.706854968754
medium130,14544.814293170422
medium131,270683.591341056
medium132,95003.74944956275
medium133,1219.2493960703473
medium134,94379.87272944268
medium135,46619.19422015436
medium136,1219.2493960703473
medium137,49339.26277020666
medium138,33849.04582634693
medium139,2009.5536923187667
medium140,74610.43404040663
medium141,739.905609893065
medium142,9574.135143847256
medium143,739.905609893065
medium144,66718.79665666285
medium145,9527.247603524418
medium146,2009.5536923187667
medium147,72359.56691610435
medium148,43191.49451921688
medium149,28480.320491582148
medium150,64340.46887218828
medium151,26645.961682448826
medium152,1219.2493960703473
medium153,1219.2493960703473
medium154,35003.10407476327
medium155,14904.846982572364
medium156,227260.9800856715
medium157,27157.214268270494
medium158,6312.786328891362
medium159,21040.772788185157
medium160,449.1689070338065
medium161,4513.249227260747
medium162,1219.2493960703473
medium163,80277.5320925439
medium164,42930.650355025464
medium165,43384.10577292068
medium166,51733.01354045731
medium167,55201.796656662846
medium168,10128.150422028439
medium169,57588.19422015436
medium170,9188.445372351973
medium171,1231.973588835513
medium172,2054.2968616158373
medium173,3779.187681565878
medium174,54034.01581064695
medium175,18542.559978452075
medium176,739.905609893065
medium177,9698.647857241496
medium178,3312.786328891362
medium179,76649.34605402421
medium180,2009.5536923187667
medium181,298.93625761701065
medium182,36566.644302788496
medium183,199343.8793492735
medium184,10159.463826585965
medium185,6368.024496994366
medium186,9003.104074763272
medium187,52039.74466064131
medium188,5874.296861615837
medium189,1664.3408610912907
medium190,90059.3688118974
medium191,449.1689070338065
medium192,154502.2702939846
medium193,3986.786328891362
medium194,1219.2493960703473
medium195,76106.58026927942
medium196,55150.950438281325
medium197,25520.432134487593
medium198,94591.43404040663
medium199,10670.404228603564
medium200,48019.01283297817
medium201,54128.49323151434
medium202,213730.94002007463
medium203,65997.01581064695
medium204,10097.32049158215
medium205,38072.7496810386
medium206,272.8281828459045
medium207,1219.2493960703473
medium208,1219.2493960703473
medium209,344.778683593172
medium210,739.905609893065
medium211,11346.30885954619
medium212,6564.209213476417
medium213,51853.658759787955
medium214,18703.30779981041
medium215,10104.249396070347
medium216,208343.8793492735
medium217,50826.19422015436
medium218,449.1689070338065
medium219,76753.65035502546
medium220,20495.007008809043
medium221,38670.421527269806
medium222,160565.92099961243
medium223,437709.2984757761
medium224,31965.112596344352
medium225,739.905609893065
medium226,13034.256101689989
medium227,449.1689070338065
medium228,17452.552262102843
medium229,272.8281828459045
medium230,449.1689070338065
medium231,1219.2493960703473
medium232,1219.2493960703473
medium233,60854.622518570584
medium234,89741.67068980877
medium235,12008.020270249175
medium236,1219.2493960703473
medium237,45938.29870423913
medium238,739.905609893065
medium239,739.905609893065
medium240,91592.70329742126
medium241,100622.10813726917
medium242,71928.53595005497
medium243,449.1689070338065
medium244,1219.2493960703473
medium245,59842.31591025766
medium246,1219.2493960703473
medium247,16788.63816896751
medium248,69598.43404040663
medium249,272.8281828459045
medium250,27457.829835948003
medium251,17048.08735598601
medium252,14492.732391021029
medium253,49727.04582634693
medium254,2009.5536923187667
medium255,36902.905433172426
medium256,272.8281828459045
medium257,92620.42232091133
medium258,739.905609893065
medium259,10049.107340214174
medium260,2009.5536923187667
large1,2009.6378778446226
large2,3312.670801912418
large3,14842.31591025766
large4,50251.32482360843
large5,2268.0000824216286
large6,494.2023873427806
large7,3312.6121493860305
large8,5460.815003314424
large9,3312.670801912418
large10,3322.3885603809476
large11,5860.815003314424
large12,3312.670801912418
large13,449.2277266951576
large14,739.905609893065
large15,449.2277266951576
large16,12716.259650403294
large17,1607.122641476766
large18,20305.686908987966
large19,42627.56088149561
large20,55377.83787181328
large21,449.2277266951576
large22,739.905609893065
large23,272.8281828459045
large24,449.2277266951576
large25,449.2277266951576
large26,7044.893269427886
large27,3353.186573857948
large28,866.4500649001942
large29,5460.815003314424
large30,34188.56088149561
large31,449.2277266951576
large32,436.8281828459045
large33,3312.670801912418
large34,5460.815003314424
large35,14842.31591025766
large36,449.2277266951576
large37,1219.2493960703473
large38,12715.275747111627
large39,449.2277266951576
large40,9720.967906719341
large41,272.8281828459045
large42,24470.262246465125
large43,272.8281828459045
large44,449.2277266951576
large45,12554.88198445573
large46,272.8281828459045
large47,24470.262246465125
large48,34145.356044872206
large49,3312.670801912418
large50,1219.2493960703473
large51,449.2277266951576
large52,3375.7724057972396
large53,272.8281828459045
large54,1219.2493960703473
large55,1219.2493960703473
large56,3357.0204709117374
large57,739.905609893065
large58,449.2277266951576
large59,12311.259650403294
large60,12554.88198445573
large61,4948.176928766389
large62,24470.262246465125
large63,2009.6378778446226
large64,3417.256111807084
large65,739.905609893065
large66,55823.56088149561
large67,5460.815003314424
large68,739.905609893065
large69,272.8281828459045
large70,272.8281828459045
large71,43577.56088149561
large72,449.2277266951576
large73,3153.8701205638326
large74,2010.069719078095
large75,55823.56088149561
large76,273.46863965770467
large77,739.905609893065
large78,4169.249396070347
